"Bron/techniek";"Energietoepassingen";"Perioden";"Vermeden verbruik van fossiele energie/Vermeden verbruik (TJ)";"Vermeden emissie van kooldioxide (CO2)/Vermeden emissie (kton)"
"Bodemwarmte, zonder warmtepompen";"Totaal energietoepassingen";"2020";"     185";"      10"
"Bodemwarmte, zonder warmtepompen";"Totaal energietoepassingen";"2021";"     190";"      11"
"Bodemwarmte, zonder warmtepompen";"Totaal energietoepassingen";"2022";"     190";"      11"
"Bodemwarmte, zonder warmtepompen";"Totaal energietoepassingen";"2023";"     190";"      11"
"Bodemwarmte, zonder warmtepompen";"Totaal energietoepassingen";"2024**";"     190";"      11"
"Bodemkoude";"Totaal energietoepassingen";"2010";"     876";"      59"
"Bodemkoude";"Totaal energietoepassingen";"2011";"     870";"      59"
"Bodemkoude";"Totaal energietoepassingen";"2012";"     967";"      69"
"Bodemkoude";"Totaal energietoepassingen";"2013";"    1011";"      75"
"Bodemkoude";"Totaal energietoepassingen";"2014";"     979";"      72"
"Bodemkoude";"Totaal energietoepassingen";"2015";"     949";"      70"
"Bodemkoude";"Totaal energietoepassingen";"2016";"    1054";"      82"
"Bodemkoude";"Totaal energietoepassingen";"2017";"    1142";"      85"
"Bodemkoude";"Totaal energietoepassingen";"2018";"    1102";"      81"
"Bodemkoude";"Totaal energietoepassingen";"2019";"    1064";"      68"
"Bodemkoude";"Totaal energietoepassingen";"2020";"    1238";"      70"
"Bodemkoude";"Totaal energietoepassingen";"2021";"    1309";"      83"
"Bodemkoude";"Totaal energietoepassingen";"2022";"    1309";"      83"
"Bodemkoude";"Totaal energietoepassingen";"2023";"    1320";"      77"
"Bodemkoude";"Totaal energietoepassingen";"2024**";"    1327";"      76"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2010";"     133";"      -1"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2011";"     215";"       1"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2012";"     232";"      -7"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2013";"     316";"     -13"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2014";"     355";"     -20"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2015";"     439";"     -39"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2016";"     697";"     -30"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2017";"    1129";"     -17"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2018";"    1598";"       1"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2019";"    2370";"      74"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2020";"    3311";"     184"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2021";"    3478";"      98"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2022";"    4249";"     103"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2023";"    5874";"     283"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2024**";"    7689";"     391"
"Totaal biomassa";"Totaal energietoepassingen";"2010";"   89687";"    6439"
"Totaal biomassa";"Totaal energietoepassingen";"2011";"   94834";"    6752"
"Totaal biomassa";"Totaal energietoepassingen";"2012";"   98772";"    7130"
"Totaal biomassa";"Totaal energietoepassingen";"2013";"   89523";"    6299"
"Totaal biomassa";"Totaal energietoepassingen";"2014";"   86925";"    5880"
"Totaal biomassa";"Totaal energietoepassingen";"2015";"   88918";"    6000"
"Totaal biomassa";"Totaal energietoepassingen";"2016";"   84539";"    5624"
"Totaal biomassa";"Totaal energietoepassingen";"2017";"   87048";"    5748"
"Totaal biomassa";"Totaal energietoepassingen";"2018";"   95162";"    6291"
"Totaal biomassa";"Totaal energietoepassingen";"2019";"  115544";"    7813"
"Totaal biomassa";"Totaal energietoepassingen";"2020";"  140784";"    9892"
"Totaal biomassa";"Totaal energietoepassingen";"2021";"  156992";"   11849"
"Totaal biomassa";"Totaal energietoepassingen";"2022";"  136890";"   10243"
"Totaal biomassa";"Totaal energietoepassingen";"2023";"  128985";"    9195"
"Totaal biomassa";"Totaal energietoepassingen";"2024**";"  141335";"   10140"
"Afvalverbrandingsinstallaties";"Totaal energietoepassingen";"2010";"   17436";"    1115"
"Afvalverbrandingsinstallaties";"Totaal energietoepassingen";"2011";"   20900";"    1329"
"Afvalverbrandingsinstallaties";"Totaal energietoepassingen";"2012";"   23950";"    1579"
"Afvalverbrandingsinstallaties";"Totaal energietoepassingen";"2013";"   24112";"    1604"
"Afvalverbrandingsinstallaties";"Totaal energietoepassingen";"2014";"   23680";"    1555"
"Afvalverbrandingsinstallaties";"Totaal energietoepassingen";"2015";"   26462";"    1783"
"Afvalverbrandingsinstallaties";"Totaal energietoepassingen";"2016";"   25680";"    1692"
"Afvalverbrandingsinstallaties";"Totaal energietoepassingen";"2017";"   24813";"    1601"
"Afvalverbrandingsinstallaties";"Totaal energietoepassingen";"2018";"   21660";"    1422"
"Afvalverbrandingsinstallaties";"Totaal energietoepassingen";"2019";"   20806";"    1271"
"Afvalverbrandingsinstallaties";"Totaal energietoepassingen";"2020";"   21447";"    1214"
"Afvalverbrandingsinstallaties";"Totaal energietoepassingen";"2021";"   23919";"    1445"
"Afvalverbrandingsinstallaties";"Totaal energietoepassingen";"2022";"   23757";"    1440"
"Afvalverbrandingsinstallaties";"Totaal energietoepassingen";"2023";"   21582";"    1238"
"Afvalverbrandingsinstallaties";"Totaal energietoepassingen";"2024**";"   20762";"    1183"
"Bij- en meestoken biomassa in centrales";"Totaal energietoepassingen";"2010";"   28545";"    2703"
"Bij- en meestoken biomassa in centrales";"Totaal energietoepassingen";"2011";"   27855";"    2638"
"Bij- en meestoken biomassa in centrales";"Totaal energietoepassingen";"2012";"   26295";"    2490"
"Bij- en meestoken biomassa in centrales";"Totaal energietoepassingen";"2013";"   15691";"    1486"
"Bij- en meestoken biomassa in centrales";"Totaal energietoepassingen";"2014";"    8173";"     774"
"Bij- en meestoken biomassa in centrales";"Totaal energietoepassingen";"2015";"    4675";"     443"
